position,snow,type
0,0,noaa
1,0.001,noaa
2,0.1,noaa
3,1,noaa
4,2,noaa
5,3,noaa
6,4,noaa
7,6,noaa
8,8,noaa
9,10,noaa
10,12,noaa
11,15,noaa
12,18,noaa
13,21,noaa
14,24,noaa
15,30,noaa
16,36,noaa
0,0,linear
16,36,linear
0,0,parabola
1,0.14,parabola
2,0.56,parabola
3,1.27,parabola
4,2.25,parabola
5,3.52,parabola
6,5.06,parabola
7,6.89,parabola
8,9,parabola
9,11.39,parabola
10,14.06,parabola
11,17.02,parabola
12,20.25,parabola
13,23.77,parabola
14,27.56,parabola
15,31.64,parabola
16,36,parabola
0,0,adjusted
1,0.001,adjusted
2,0.1,adjusted
3,0.5,adjusted
4,1,adjusted
5,2,adjusted
6,4,adjusted
7,6,adjusted
8,8,adjusted
9,11,adjusted
10,14,adjusted
11,17,adjusted
12,20,adjusted
13,24,adjusted
14,28,adjusted
15,32,adjusted
16,36,adjusted
